ISO_A3,wbname,statext0,statext1,statext2,statext3,statext4,statext5,statext6,statext7,statext8,statext9,statext10,statext11,statext12,statext13,statext14,statext15,statext16,statext17,statext18,statext19,statext20,statext21,statext22,statext23,statext24,statext25,statext26,statext27,statext28,statext29,statext30,statext31,statext32,statext33,statext34,statext35,statext36,statext37,statext38,statext39,statext40,statext41,statext42,statext43,statext44,statext45,statext46,statext47,statext48,statext49,statext50,statext51,statext52,statext53,statext54,statext55,statext56,statext57,statext58,statext59,statext60,statext61,statext62,statext63,statext64,statext65,statext66,statext67,statext68,statext69,statext70,statext71,statext72,statext73,statext74,statext75,statext76,statext77,statext78,statext79,statext80,statext81,statext82,statext83,statext84,statext85,statext86,statext87,statext88,statext89,statext90,statext91,statext92,statext93,statext94,statext95,statext96,statext97,statext98,statext99,statext100,statext101,statext102,statext103,statext104,statext105,statext106,statext107,statext108,statext109
ISL,Iceland,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,India,50,26.5,25,25,37.5,37.5,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,33.75,32.5,50,35.5,25,25,25,18.75,18.75,18.75,18.75,18.75,18.75,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDN,Indonesia,50,25,25,28.125,28.125,28.125,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRN,"Iran, Islamic Rep.",50,50,50,50,50,50,50,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,48.6875,28.125,28.6875,37.5,42.5,50,50,50,50,34.6875,28.125,28.125,34.5,18.75,18.75,18.75,18.75,18.75,18.75,18.75,25,25,25,25,25,25,25,25,25,25,25,25,24.875,23.25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,0,0,0,0,0
IRQ,Iraq,50,33,25,32.75,37.5,25,25,25,25,24,18.75,18.75,18.75,23.125,27,37.5,37,25,24.375,18.75,18.75,31.875,34.125,40.5,50,25.5,25,27.375,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,27.5625,25,25,25,25,25,25,28.5,40.25,50,40,45.1875,45.25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,29.0625,28.125,28.125,28.125,28.125,27.5,25,25,35,37.5,37.5,37.5,31,25,25,25,25,36.5,37.5,28,28.5,50,50,50,37.5,37.5,37.5,30,25,25,25,25,25,25,25,25,25,25,25,15,15,15,15,15,15,11.25,11.25
IRL,Ireland,50,39,25,25,25,25,25,25,25,25,25,25,25,25,25,25,31.25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,Israel,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,28.125,36.75,37.5,37.5,29.875,37.5,37.5,35.4375,37.5,36.25,25,25,25,34.25,18.75,31.125,28.125,29.8125,37.5,37.5,50,24.5,7.5,7.5,7.5,25,25,25,25,25,25,24.609375,24.609375,24.609375,24.609375,24.609375,24.609375,24.609375,24.609375,24.609375,24.609375,0,0,0,0,0,0,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,0,0,0,0,0,0,0,0,0,0
ITA,Italy,50,50,32.9375,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,37.5,37.5,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,50,50,50,50,50,50,50,50,50,50,50,45.5,47.5,50,50,50,34.25,25.875,37.5,34.25,25,25,21.875,21.875,21.875,21.875,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAM,Jamaica,44,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,Japan,49.75,49.375,50,50,50,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
